name,current_age,position,type,expiration_status,cap_hit_percentage_at_signing,signing_date
Devin Shore,26,"LW, C, RW",STANDARD CONTRACT,RFA,0.86,"January 13, 2021"
Devin Shore,26,"LW, C, RW",STANDARD CONTRACT (EXTENSION),UFA,1.04,"June  9, 2021"
Devin Shore,26,"LW, C, RW",ENTRY-LEVEL CONTRACT,RFA,1.26,"March 10, 2015"
Devin Shore,26,"LW, C, RW",STANDARD CONTRACT,UFA (No QO),2.89,"July 13, 2018"
Patrick Russell,28,RW,STANDARD CONTRACT (EXTENSION),UFA,0.86,"August 31, 2020"
Patrick Russell,28,RW,ENTRY-LEVEL CONTRACT,RFA,1.30,"May  9, 2016"
Patrick Russell,28,RW,STANDARD CONTRACT (EXTENSION),UFA (Group 6),0.93,"June  8, 2018"
Patrick Russell,28,RW,STANDARD CONTRACT (EXTENSION),UFA,0.88,"June 11, 2019"
Darnell Nurse,26,LD,STANDARD CONTRACT (EXTENSION),UFA,6.87,"February 10, 2020"
Darnell Nurse,26,LD,ENTRY-LEVEL CONTRACT,RFA,1.44,"July 27, 2013"
Darnell Nurse,26,LD,STANDARD CONTRACT,RFA,4.03,"September 17, 2018"
Adam Larsson,28,RD,STANDARD CONTRACT,UFA,5.84,"July 25, 2015"
Adam Larsson,28,RD,ENTRY-LEVEL CONTRACT,RFA,1.44,"July 15, 2011"
Adam Larsson,28,RD,STANDARD CONTRACT,RFA,1.30,"July  1, 2014"
Kris Russell,34,LD/RD,STANDARD CONTRACT (EXTENSION),UFA,5.33,"June 23, 2017"
Kris Russell,34,LD/RD,STANDARD CONTRACT (EXTENSION),UFA,1.53,"October 21, 2020"
Kris Russell,34,LD/RD,ENTRY-LEVEL CONTRACT,RFA,1.09,"July  1, 2007"
Kris Russell,34,LD/RD,STANDARD CONTRACT (EXTENSION),RFA,2.29,"October 17, 2009"
Kris Russell,34,LD/RD,STANDARD CONTRACT,UFA,2.33,"July  5, 2013"
Kris Russell,34,LD/RD,STANDARD CONTRACT (EXTENSION),UFA,4.04,"March  2, 2014"
Kris Russell,34,LD/RD,STANDARD CONTRACT,UFA,4.25,"October  7, 2016"
Tyson Barrie,29,RD,STANDARD CONTRACT,UFA,4.60,"October 10, 2020"
Tyson Barrie,29,RD,ENTRY-LEVEL CONTRACT,RFA,1.20,"March 25, 2011"
Tyson Barrie,29,RD,STANDARD CONTRACT,RFA,3.77,"September  7, 2014"
Tyson Barrie,29,RD,STANDARD CONTRACT,UFA,7.53,"July 31, 2016"
Ethan Bear,23,RD,STANDARD CONTRACT,RFA,2.45,"December 29, 2020"
Ethan Bear,23,RD,ENTRY-LEVEL CONTRACT,RFA,0.99,"July  2, 2016"
Dmitry Kulikov,30,LD,STANDARD CONTRACT,UFA,1.41,"October 22, 2020"
Dmitry Kulikov,30,LD,ENTRY-LEVEL CONTRACT,RFA,1.58,"September 29, 2009"
Dmitry Kulikov,30,LD,STANDARD CONTRACT,RFA,3.89,"January 18, 2013"
Dmitry Kulikov,30,LD,STANDARD CONTRACT,UFA,6.28,"July 18, 2014"
Dmitry Kulikov,30,LD,STANDARD CONTRACT,UFA,5.78,"July  1, 2017"
Philip Broberg,19,LD,ENTRY-LEVEL CONTRACT,RFA,1.10,"July  4, 2019"
Evan Bouchard,21,RD,ENTRY-LEVEL CONTRACT,RFA,1.09,"July 17, 2018"
Caleb Jones,24,LD,STANDARD CONTRACT (EXTENSION),RFA,1.04,"January 15, 2020"
Caleb Jones,24,LD,ENTRY-LEVEL CONTRACT,RFA,0.99,"April  6, 2016"
Slater Koekkoek,27,LD/RD,STANDARD CONTRACT,UFA,1.04,"December 26, 2020"
Slater Koekkoek,27,LD/RD,ENTRY-LEVEL CONTRACT,RFA,1.44,"March 20, 2013"
Slater Koekkoek,27,LD/RD,STANDARD CONTRACT,RFA,1.07,"July  3, 2017"
Slater Koekkoek,27,LD/RD,STANDARD CONTRACT,RFA,1.09,"July  2, 2018"
Slater Koekkoek,27,LD/RD,STANDARD CONTRACT (EXTENSION),UFA (No QO),1.16,"May 13, 2019"
William Lagesson,25,LD,STANDARD CONTRACT,RFA,0.89,"November  4, 2020"
William Lagesson,25,LD,ENTRY-LEVEL CONTRACT,RFA,1.02,"April  7, 2017"
Mikko Koskinen,32,G,STANDARD CONTRACT (EXTENSION),UFA,5.66,"January 21, 2019"
Mikko Koskinen,32,G,ENTRY-LEVEL CONTRACT,RFA,1.58,"July 13, 2009"
Mikko Koskinen,32,G,STANDARD CONTRACT (EXTENSION),UFA,3.33,"May  1, 2018"
Mike Smith,39,G,35+ CONTRACT,UFA,1.84,"October 10, 2020"
Mike Smith,39,G,STANDARD CONTRACT (EXTENSION),RFA,2.16,"February  7, 2007"
Mike Smith,39,G,STANDARD CONTRACT (EXTENSION),UFA,3.88,"July 14, 2008"
Mike Smith,39,G,STANDARD CONTRACT,UFA,3.11,"July  1, 2011"
Mike Smith,39,G,STANDARD CONTRACT (EXTENSION),UFA,8.81,"June 30, 2013"
Mike Smith,39,G,35+ CONTRACT,UFA,2.45,"July  1, 2019"
Alex Stalock,33,G,STANDARD CONTRACT (EXTENSION),UFA,0.99,"January 29, 2019"
Alex Stalock,33,G,ENTRY-LEVEL CONTRACT,RFA,1.32,"April 13, 2009"
Alex Stalock,33,G,STANDARD CONTRACT (EXTENSION),RFA,0.97,"June 27, 2011"
Alex Stalock,33,G,STANDARD CONTRACT,UFA,1.15,"July  2, 2012"
Alex Stalock,33,G,STANDARD CONTRACT,UFA,0.97,"July  8, 2013"
Alex Stalock,33,G,STANDARD CONTRACT (EXTENSION),UFA,2.49,"June 18, 2014"
Alex Stalock,33,G,STANDARD CONTRACT,UFA,0.89,"July  1, 2016"
Alex Stalock,33,G,STANDARD CONTRACT (EXTENSION),UFA,0.89,"February  2, 2017"
Josh Anderson,27,RW,STANDARD CONTRACT (EXTENSION),UFA,6.75,"October  8, 2020"
Josh Anderson,27,RW,ENTRY-LEVEL CONTRACT,RFA,1.10,"November 12, 2013"
Josh Anderson,27,RW,STANDARD CONTRACT,RFA,2.47,"October  2, 2017"
Tomas Tatar,30,"LW, RW",STANDARD CONTRACT,UFA,7.07,"July 21, 2017"
Tomas Tatar,30,"LW, RW",ENTRY-LEVEL CONTRACT,RFA,1.21,"September 18, 2009"
Tomas Tatar,30,"LW, RW",STANDARD CONTRACT,RFA,3.99,"July 27, 2014"
Tyler Toffoli,29,"RW, LW",STANDARD CONTRACT,UFA,5.21,"October 12, 2020"
Tyler Toffoli,29,"RW, LW",ENTRY-LEVEL CONTRACT,RFA,1.26,"April 18, 2011"
Tyler Toffoli,29,"RW, LW",STANDARD CONTRACT (EXTENSION),RFA,4.45,"June 26, 2015"
Tyler Toffoli,29,"RW, LW",STANDARD CONTRACT (EXTENSION),UFA,6.30,"June  7, 2017"
Brendan Gallagher,29,RW,STANDARD CONTRACT (EXTENSION),UFA,5.43,"November 29, 2014"
Brendan Gallagher,29,RW,STANDARD CONTRACT (EXTENSION),UFA,7.98,"October 14, 2020"
Brendan Gallagher,29,RW,ENTRY-LEVEL CONTRACT,RFA,1.11,"November 16, 2011"
Paul Byron,32,"LW, RW",STANDARD CONTRACT (EXTENSION),UFA,4.28,"September 23, 2018"
Paul Byron,32,"LW, RW",ENTRY-LEVEL CONTRACT,RFA,0.98,"June  1, 2009"
Paul Byron,32,"LW, RW",STANDARD CONTRACT,RFA,0.93,"July  4, 2012"
Paul Byron,32,"LW, RW",STANDARD CONTRACT,UFA,1.00,"July 20, 2013"
Paul Byron,32,"LW, RW",STANDARD CONTRACT,RFA,0.87,"July  3, 2014"
Paul Byron,32,"LW, RW",STANDARD CONTRACT,UFA,1.26,"July 26, 2015"
Paul Byron,32,"LW, RW",STANDARD CONTRACT (EXTENSION),UFA,1.63,"February 23, 2016"
Phillip Danault,28,C,STANDARD CONTRACT,UFA,3.88,"July 15, 2018"
Phillip Danault,28,C,ENTRY-LEVEL CONTRACT,RFA,1.44,"January  1, 2012"
Phillip Danault,28,C,STANDARD CONTRACT,RFA,1.25,"July  5, 2016"
Joel Armia,28,"RW, LW",STANDARD CONTRACT,UFA,3.19,"July 11, 2019"
Joel Armia,28,"RW, LW",ENTRY-LEVEL CONTRACT,RFA,1.44,"June 17, 2012"
Joel Armia,28,"RW, LW",STANDARD CONTRACT,RFA,1.27,"July 14, 2016"
Joel Armia,28,"RW, LW",STANDARD CONTRACT,RFA,2.33,"July 13, 2018"
Artturi Lehkonen,25,"LW, RW",STANDARD CONTRACT,RFA,2.94,"July 11, 2019"
Artturi Lehkonen,25,"LW, RW",ENTRY-LEVEL CONTRACT,RFA,1.18,"May  8, 2016"
Eric Staal,36,C,STANDARD CONTRACT (EXTENSION),UFA,4.09,"February 25, 2019"
Eric Staal,36,C,ENTRY-LEVEL CONTRACT,RFA,0.00,Unknown
Eric Staal,36,C,STANDARD CONTRACT,RFA,10.23,"July  1, 2006"
Eric Staal,36,C,STANDARD CONTRACT (EXTENSION),UFA,14.55,"September 11, 2008"
Eric Staal,36,C,STANDARD CONTRACT,UFA,4.79,"July  1, 2016"
Jesperi Kotkaniemi,20,"C, LW",ENTRY-LEVEL CONTRACT,RFA,1.16,"July  1, 2018"
Cole Caufield,20,"RW, C",ENTRY-LEVEL CONTRACT,RFA,1.08,"March 27, 2021"
Jesse Ylönen,21,RW,ENTRY-LEVEL CONTRACT,RFA,1.08,"March 26, 2020"
Nick Suzuki,21,"C, RW",ENTRY-LEVEL CONTRACT,RFA,1.23,"July 15, 2017"
Corey Perry,36,RW,35+ CONTRACT,UFA,0.92,"December 28, 2020"
Corey Perry,36,RW,ENTRY-LEVEL CONTRACT,RFA,1.58,"September 15, 2004"
Corey Perry,36,RW,STANDARD CONTRACT,UFA,9.39,"July  1, 2008"
Corey Perry,36,RW,STANDARD CONTRACT (EXTENSION),UFA,13.41,"March 18, 2013"
Corey Perry,36,RW,STANDARD CONTRACT,UFA,1.84,"July  1, 2019"
Michael Frolík,33,"LW, RW",35+ CONTRACT,UFA,0.92,"December 28, 2020"
Michael Frolík,33,"LW, RW",ENTRY-LEVEL CONTRACT,RFA,1.58,"September 15, 2004"
Michael Frolík,33,"LW, RW",STANDARD CONTRACT,UFA,9.39,"July  1, 2008"
Michael Frolík,33,"LW, RW",STANDARD CONTRACT (EXTENSION),UFA,13.41,"March 18, 2013"
Michael Frolík,33,"LW, RW",STANDARD CONTRACT,UFA,1.84,"July  1, 2019"
Jake Evans,25,"C, RW",STANDARD CONTRACT (EXTENSION),RFA,0.92,"September 23, 2020"
Jake Evans,25,"C, RW",ENTRY-LEVEL CONTRACT,RFA,1.23,"April  9, 2018"
Alex Belzile,29,"RW, C",STANDARD CONTRACT (EXTENSION),UFA,0.86,"March 20, 2020"
Alex Belzile,29,"RW, C",STANDARD CONTRACT,UFA,0.84,"May 24, 2019"
Laurent Dauphin,26,"C, LW",STANDARD CONTRACT (EXTENSION),UFA (Group 6),0.86,"April  3, 2020"
Laurent Dauphin,26,"C, LW",ENTRY-LEVEL CONTRACT,RFA,1.12,"October  5, 2014"
Laurent Dauphin,26,"C, LW",STANDARD CONTRACT,RFA,0.99,"July 14, 2018"
Laurent Dauphin,26,"C, LW",STANDARD CONTRACT (EXTENSION),UFA (Group 6),0.88,"February 27, 2019"
Lukas Vejdemo,25,"C, LW, RW",STANDARD CONTRACT (EXTENSION),UFA (Group 6),0.86,"September  4, 2020"
Lukas Vejdemo,25,"C, LW, RW",ENTRY-LEVEL CONTRACT,RFA,1.06,"May  2, 2018"
Shea Weber,35,RD,STANDARD CONTRACT (OFFER SHEET),UFA,13.10,"July 24, 2012"
Shea Weber,35,RD,ENTRY-LEVEL CONTRACT,RFA,1.57,"September 14, 2004"
Shea Weber,35,RD,STANDARD CONTRACT (EXTENSION),RFA,7.94,"June 23, 2008"
Shea Weber,35,RD,STANDARD CONTRACT,RFA,11.66,"August  4, 2011"
Jeff Petry,33,RD,STANDARD CONTRACT (EXTENSION),UFA,7.97,"June  2, 2015"
Jeff Petry,33,RD,STANDARD CONTRACT (EXTENSION),UFA,7.67,"September 25, 2020"
Jeff Petry,33,RD,ENTRY-LEVEL CONTRACT,RFA,1.43,"March 29, 2010"
Jeff Petry,33,RD,STANDARD CONTRACT,RFA,2.92,"July  5, 2012"
Jeff Petry,33,RD,STANDARD CONTRACT,UFA,4.46,"July  8, 2014"
Joel Edmundson,27,LD,STANDARD CONTRACT (EXTENSION),UFA,4.29,"September 16, 2020"
Joel Edmundson,27,LD,ENTRY-LEVEL CONTRACT,RFA,1.15,"March  6, 2013"
Joel Edmundson,27,LD,STANDARD CONTRACT (EXTENSION),RFA,1.47,"April  8, 2016"
Joel Edmundson,27,LD,STANDARD CONTRACT,RFA,3.77,"July 24, 2018"
Joel Edmundson,27,LD,STANDARD CONTRACT,UFA,3.80,"August  6, 2019"
Ben Chiarot,30,LD,STANDARD CONTRACT,UFA,4.29,"July  4, 2019"
Ben Chiarot,30,LD,ENTRY-LEVEL CONTRACT,RFA,1.04,"March 15, 2011"
Ben Chiarot,30,LD,STANDARD CONTRACT,RFA,0.87,"July 26, 2014"
Ben Chiarot,30,LD,STANDARD CONTRACT (EXTENSION),RFA,1.16,"June 18, 2015"
Ben Chiarot,30,LD,STANDARD CONTRACT (EXTENSION),UFA,1.87,"June 24, 2017"
Brett Kulak,27,LD,STANDARD CONTRACT (EXTENSION),UFA,2.33,"May 25, 2019"
Brett Kulak,27,LD,ENTRY-LEVEL CONTRACT,RFA,1.02,"March 18, 2014"
Brett Kulak,27,LD,STANDARD CONTRACT,RFA,0.87,"August 28, 2017"
Brett Kulak,27,LD,STANDARD CONTRACT,RFA,1.13,"July 25, 2018"
Erik Gustafsson,29,LD/RD,STANDARD CONTRACT,UFA,3.68,"October 12, 2020"
