name,cap_hit_percentage_at_signing,signing_date,age_at_signing,is_ufa,expires_as_ufa,is_center,is_winger,is_defenseman,prev_1_goals,prev_2_goals,prev_3_goals,prev_1_assists,prev_2_assists,prev_3_assists,prev_1_xgf,prev_2_xgf,prev_3_xgf,prev_1_corsi,prev_2_corsi,prev_3_corsi,prev_1_sh,prev_2_sh,prev_3_sh
Jared Spurgeon,0.0415,2013-07-05,24.0,0,0,0,0,1,5.0,3.0,4.0,10.0,20.0,8.0,0.66,0.52,0.54,0.55,0.48,0.51,0.0746,0.0746,0.0746
Jarred Tinordi,0.0088,2019-05-29,27.0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarred Tinordi,0.008199999999999999,2018-07-01,27.0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.4,0.0,0.0,0.0
Jarred Tinordi,0.0087,2017-07-01,26.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.39,0.48,0.0,0.4,0.48,0.0,0.0,0.0
Jarred Tinordi,0.0096,2016-07-01,25.0,0,0,0,0,1,0.0,0.0,0.0,0.0,2.0,2.0,0.39,0.48,0.39,0.4,0.48,0.45,0.0,0.0,0.0
Jarred Tinordi,0.011899999999999999,2015-07-16,24.0,0,0,0,0,1,0.0,0.0,0.0,2.0,2.0,2.0,0.48,0.39,0.54,0.48,0.45,0.61,0.0,0.0,0.0
Jason Demers,0.0616,2016-07-02,29.0,1,1,0,0,1,7.0,5.0,5.0,16.0,20.0,29.0,0.51,0.54,0.62,0.51,0.54,0.56,0.0737,0.0737,0.0737
Jason Demers,0.0493,2014-07-17,27.0,0,1,0,0,1,5.0,1.0,4.0,29.0,2.0,9.0,0.62,0.48,0.54,0.56,0.5,0.56,0.0476,0.0476,0.0476
Jason Demers,0.0233,2013-06-27,26.0,0,0,0,0,1,1.0,4.0,2.0,2.0,9.0,22.0,0.48,0.54,0.6,0.5,0.56,0.57,0.037,0.037,0.037
Jason Dickinson,0.0184,2019-07-11,24.0,0,0,1,1,0,6.0,0.0,2.0,16.0,2.0,0.0,0.49,0.45,0.55,0.44,0.5,0.53,0.0638,0.0638,0.0638
Jason Dickinson,0.011000000000000001,2018-07-06,23.0,0,0,1,1,0,0.0,2.0,1.0,2.0,0.0,0.0,0.45,0.55,0.68,0.5,0.53,0.46,0.0,0.0,0.0
Jason Spezza,0.0086,2020-10-05,38.0,1,1,1,1,0,9.0,8.0,8.0,16.0,20.0,18.0,0.54,0.59,0.59,0.54,0.57,0.59,0.1233,0.1233,0.1233
Jason Spezza,0.0086,2019-07-01,37.0,1,1,1,1,0,8.0,8.0,15.0,20.0,18.0,35.0,0.59,0.59,0.52,0.57,0.59,0.57,0.0661,0.0661,0.0661
Jason Spezza,0.10869999999999999,2014-11-21,32.0,1,1,1,1,0,23.0,2.0,34.0,43.0,3.0,50.0,0.53,0.7,0.59,0.56,0.59,0.59,0.1031,0.1031,0.1031
Jason Zucker,0.0692,2018-07-25,27.0,0,1,0,1,0,33.0,22.0,13.0,31.0,25.0,10.0,0.63,0.56,0.55,0.54,0.49,0.51,0.1486,0.1486,0.1486
Jason Zucker,0.0274,2016-06-29,25.0,0,0,0,1,0,13.0,21.0,4.0,10.0,5.0,1.0,0.55,0.55,0.49,0.51,0.54,0.44,0.0823,0.0823,0.0823
Jason Zucker,0.013000000000000001,2014-07-15,23.0,0,0,0,1,0,4.0,4.0,0.0,1.0,1.0,2.0,0.49,0.56,0.35,0.44,0.46,0.38,0.1,0.1,0.1
Jayce Hawryluk,0.0098,2020-10-19,25.0,0,0,0,1,0,3.0,7.0,0.0,7.0,5.0,0.0,0.52,0.47,0.0,0.53,0.49,0.0,0.1154,0.1154,0.1154
Jayce Hawryluk,0.010700000000000001,2019-07-15,24.0,0,0,0,1,0,7.0,0.0,0.0,5.0,0.0,0.0,0.47,0.0,0.0,0.49,0.0,0.0,0.2,0.2,0.2
Jayson Megna,0.0086,2020-10-10,31.0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.3,0.44,0.0,0.5,0.0,0.0,0.0
Jayson Megna,0.0086,2019-07-01,30.0,1,1,0,1,0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.3,0.48,0.0,0.5,0.47,0.0,0.0,0.0
Jayson Megna,0.008199999999999999,2018-07-01,29.0,1,1,0,1,0,0.0,4.0,1.0,0.0,4.0,1.0,0.3,0.48,0.61,0.5,0.47,0.56,0.0,0.0,0.0
Jayson Megna,0.0092,2017-04-02,27.0,1,1,0,1,0,4.0,1.0,0.0,4.0,1.0,1.0,0.48,0.61,0.39,0.47,0.56,0.44,0.0556,0.0556,0.0556
Jayson Megna,0.008199999999999999,2016-07-01,27.0,0,1,0,1,0,1.0,0.0,5.0,1.0,1.0,4.0,0.61,0.39,0.5,0.56,0.44,0.44,0.1111,0.1111,0.1111
Jayson Megna,0.0084,2015-07-02,26.0,1,0,0,1,0,0.0,5.0,0.0,1.0,4.0,0.0,0.39,0.5,0.0,0.44,0.44,0.0,0.0,0.0,0.0
Jayson Megna,0.0127,2014-07-10,25.0,0,1,0,1,0,5.0,0.0,0.0,4.0,0.0,0.0,0.5,0.0,0.0,0.44,0.0,0.0,0.1389,0.1389,0.1389
Jean-Gabriel Pageau,0.061399999999999996,2020-02-24,27.0,1,1,1,0,0,26.0,4.0,14.0,16.0,8.0,15.0,0.5,0.46,0.43,0.48,0.45,0.45,0.1711,0.1711,0.1711
Jean-Gabriel Pageau,0.041299999999999996,2017-07-17,25.0,0,1,1,0,0,12.0,19.0,10.0,21.0,24.0,9.0,0.46,0.44,0.47,0.42,0.44,0.47,0.071,0.071,0.071
Jean-Gabriel Pageau,0.0123,2015-06-18,23.0,0,0,1,0,0,10.0,2.0,2.0,9.0,0.0,2.0,0.47,0.44,0.63,0.47,0.46,0.56,0.1031,0.1031,0.1031
Jeff Petry,0.0767,2020-09-25,33.0,1,1,0,0,1,11.0,13.0,12.0,29.0,32.0,30.0,0.55,0.48,0.52,0.56,0.55,0.52,0.0696,0.0696,0.0696
Jeff Petry,0.0797,2015-06-02,27.0,1,1,0,0,1,7.0,7.0,3.0,15.0,10.0,9.0,0.45,0.41,0.38,0.48,0.42,0.39,0.0556,0.0556,0.0556
Jeff Petry,0.0446,2014-07-08,27.0,0,1,0,0,1,7.0,3.0,2.0,10.0,9.0,23.0,0.41,0.38,0.45,0.42,0.39,0.46,0.0729,0.0729,0.0729
Jeff Petry,0.0292,2012-07-05,25.0,0,0,0,0,1,2.0,1.0,0.0,23.0,4.0,0.0,0.45,0.51,0.0,0.46,0.51,0.0,0.018,0.018,0.018
Jeff Skinner,0.11320000000000001,2019-06-07,27.0,1,1,0,1,0,40.0,24.0,37.0,24.0,25.0,26.0,0.58,0.6,0.55,0.58,0.6,0.56,0.1493,0.1493,0.1493
Jeff Skinner,0.09539999999999998,2012-08-08,21.0,0,1,0,1,0,20.0,31.0,0.0,24.0,32.0,0.0,0.58,0.57,0.0,0.56,0.56,0.0,0.0952,0.0952,0.0952
Jesper Bratt,0.0337,2021-01-10,22.0,0,0,0,1,0,7.0,16.0,9.0,23.0,16.0,25.0,0.57,0.54,0.49,0.58,0.52,0.52,0.0693,0.0693,0.0693
Jesper Fast,0.0245,2020-10-10,29.0,1,1,0,1,0,12.0,8.0,13.0,18.0,12.0,20.0,0.43,0.46,0.38,0.42,0.44,0.41,0.1429,0.1429,0.1429
Jesper Fast,0.024700000000000003,2017-07-05,26.0,0,1,0,1,0,6.0,10.0,6.0,15.0,20.0,8.0,0.47,0.41,0.52,0.44,0.42,0.46,0.1091,0.1091,0.1091
Jesper Fast,0.013000000000000001,2015-07-16,24.0,0,0,0,1,0,6.0,0.0,0.0,8.0,0.0,0.0,0.52,0.48,0.0,0.46,0.52,0.0,0.1154,0.1154,0.1154
Jesse Puljujärvi,0.0144,2020-10-07,23.0,0,0,0,1,0,0.0,4.0,12.0,0.0,5.0,8.0,0.0,0.43,0.53,0.0,0.47,0.53,0.0,0.0,0.0
Jimmy Vesey,0.011000000000000001,2020-10-11,28.0,1,1,0,1,0,9.0,17.0,17.0,11.0,18.0,11.0,0.47,0.48,0.5,0.48,0.48,0.49,0.0968,0.0968,0.0968
Jimmy Vesey,0.0286,2018-07-17,26.0,0,1,0,1,0,17.0,16.0,0.0,11.0,10.0,0.0,0.5,0.51,0.0,0.49,0.49,0.0,0.125,0.125,0.125
Joakim Nordström,0.0086,2020-10-19,29.0,1,1,0,1,0,4.0,7.0,2.0,3.0,4.0,5.0,0.35,0.45,0.39,0.38,0.45,0.45,0.0816,0.0816,0.0816
Joakim Nordström,0.0126,2018-07-01,27.0,0,1,0,1,0,2.0,7.0,10.0,5.0,5.0,14.0,0.39,0.47,0.44,0.45,0.45,0.46,0.0206,0.0206,0.0206
Joakim Nordström,0.0179,2016-04-22,24.0,0,0,0,1,0,10.0,0.0,1.0,14.0,3.0,2.0,0.44,0.49,0.47,0.46,0.47,0.46,0.1235,0.1235,0.1235
Joakim Nordström,0.0085,2015-09-02,24.0,0,0,0,1,0,0.0,1.0,0.0,3.0,2.0,0.0,0.49,0.47,0.0,0.47,0.46,0.0,0.0,0.0,0.0
Joakim Nygård,0.010700000000000001,2020-02-11,27.0,1,1,0,1,0,3.0,0.0,0.0,6.0,0.0,0.0,0.56,0.0,0.0,0.46,0.0,0.0,0.0769,0.0769,0.0769
Joakim Ryan,0.0086,2020-10-12,27.0,1,1,0,0,1,1.0,0.0,3.0,4.0,7.0,9.0,0.49,0.54,0.57,0.48,0.55,0.53,0.0189,0.0189,0.0189
Joakim Ryan,0.0089,2019-07-01,26.0,0,1,0,0,1,0.0,3.0,0.0,7.0,9.0,0.0,0.54,0.57,0.0,0.55,0.53,0.0,0.0,0.0,0.0
Joakim Ryan,0.0089,2017-06-17,24.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Pavelski,0.0859,2019-07-01,35.0,1,1,1,1,0,38.0,22.0,29.0,26.0,44.0,39.0,0.58,0.6,0.6,0.59,0.59,0.59,0.2032,0.2032,0.2032
Joe Pavelski,0.0933,2013-07-30,29.0,1,1,1,1,0,16.0,31.0,20.0,15.0,30.0,46.0,0.6,0.58,0.63,0.57,0.58,0.6,0.1231,0.1231,0.1231
Joe Thornton,0.0086,2020-10-16,41.0,1,1,1,1,0,7.0,16.0,13.0,24.0,35.0,23.0,0.55,0.62,0.59,0.58,0.61,0.61,0.0921,0.0921,0.0921
Joe Thornton,0.0245,2019-09-06,40.0,1,1,1,1,0,16.0,13.0,7.0,35.0,23.0,42.0,0.62,0.59,0.62,0.61,0.61,0.61,0.1798,0.1798,0.1798
Joe Thornton,0.0629,2018-07-02,39.0,1,1,1,1,0,13.0,7.0,19.0,23.0,42.0,63.0,0.59,0.62,0.66,0.61,0.61,0.64,0.1733,0.1733,0.1733
Joe Thornton,0.1067,2017-07-02,38.0,1,1,1,1,0,7.0,19.0,16.0,42.0,63.0,49.0,0.62,0.66,0.64,0.61,0.64,0.64,0.0864,0.0864,0.0864
Joe Thornton,0.0978,2014-01-24,34.0,1,1,1,1,0,11.0,7.0,18.0,65.0,33.0,59.0,0.68,0.65,0.61,0.65,0.61,0.61,0.0902,0.0902,0.0902
Joel Armia,0.0319,2019-07-11,27.0,0,1,0,1,0,13.0,12.0,10.0,10.0,17.0,9.0,0.52,0.53,0.45,0.53,0.52,0.44,0.097,0.097,0.097
Joel Armia,0.0233,2018-07-13,26.0,0,0,0,1,0,12.0,10.0,4.0,17.0,9.0,6.0,0.53,0.45,0.5,0.52,0.44,0.51,0.0938,0.0938,0.0938
Joel Armia,0.0127,2016-07-14,24.0,0,0,0,1,0,4.0,0.0,0.0,6.0,0.0,0.0,0.5,0.29,0.0,0.51,0.27,0.0,0.0769,0.0769,0.0769
Joel Edmundson,0.0429,2020-09-16,27.0,1,1,0,0,1,7.0,2.0,7.0,13.0,9.0,10.0,0.42,0.48,0.47,0.45,0.47,0.47,0.0722,0.0722,0.0722
Joel Edmundson,0.038,2019-08-06,26.0,0,1,0,0,1,2.0,7.0,3.0,9.0,10.0,12.0,0.48,0.47,0.42,0.47,0.47,0.45,0.02,0.02,0.02
Joel Edmundson,0.0377,2018-07-24,25.0,0,0,0,0,1,7.0,3.0,1.0,10.0,12.0,8.0,0.47,0.42,0.49,0.47,0.45,0.51,0.0565,0.0565,0.0565
Joel Edmundson,0.0147,2016-04-08,22.0,0,0,0,0,1,1.0,0.0,0.0,8.0,0.0,0.0,0.49,0.0,0.0,0.51,0.0,0.0,0.0111,0.0111,0.0111
Joel Eriksson Ek,0.0183,2019-08-21,23.0,0,0,1,0,0,7.0,6.0,3.0,7.0,10.0,4.0,0.5,0.51,0.44,0.47,0.44,0.41,0.0642,0.0642,0.0642
Joel Hanley,0.0092,2021-04-14,30.0,1,1,0,0,1,0.0,0.0,0.0,8.0,2.0,0.0,0.58,0.5,0.59,0.56,0.5,0.5,0.0,0.0,0.0
Joel Hanley,0.0088,2019-02-20,28.0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.57,0.49,0.5,0.53,0.5,0.0,0.0,0.0
Joel Hanley,0.008199999999999999,2018-07-01,28.0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,6.0,0.57,0.49,0.44,0.53,0.5,0.47,0.0,0.0,0.0
Joel Hanley,0.0097,2017-07-01,27.0,0,1,0,0,1,0.0,0.0,0.0,0.0,6.0,0.0,0.49,0.44,0.0,0.5,0.47,0.0,0.0,0.0,0.0
Joel Hanley,0.008199999999999999,2016-06-22,26.0,0,0,0,0,1,0.0,0.0,0.0,6.0,0.0,0.0,0.44,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0
Johan Larsson,0.0172,2020-10-10,28.0,1,1,1,1,0,6.0,6.0,4.0,13.0,9.0,13.0,0.45,0.4,0.33,0.45,0.43,0.37,0.1,0.1,0.1
Johan Larsson,0.019,2019-07-12,27.0,0,1,1,1,0,6.0,4.0,6.0,9.0,13.0,5.0,0.4,0.33,0.41,0.43,0.37,0.43,0.0759,0.0759,0.0759
Johan Larsson,0.0197,2017-07-08,25.0,0,0,1,1,0,6.0,10.0,6.0,5.0,7.0,10.0,0.41,0.5,0.52,0.43,0.49,0.45,0.1224,0.1224,0.1224
Johan Larsson,0.013000000000000001,2016-04-29,23.0,0,0,1,1,0,10.0,6.0,0.0,7.0,10.0,4.0,0.5,0.52,0.38,0.49,0.45,0.44,0.1053,0.1053,0.1053
Johan Larsson,0.011000000000000001,2015-07-17,23.0,0,0,1,1,0,6.0,0.0,0.0,10.0,4.0,0.0,0.52,0.38,0.3,0.45,0.44,0.38,0.12,0.12,0.12
John Carlson,0.10060000000000001,2018-06-25,29.0,1,1,0,0,1,15.0,9.0,8.0,53.0,28.0,31.0,0.5,0.48,0.56,0.51,0.5,0.53,0.0633,0.0633,0.0633
John Carlson,0.0661,2012-09-15,23.0,0,1,0,0,1,9.0,7.0,1.0,23.0,30.0,5.0,0.45,0.55,0.57,0.45,0.54,0.53,0.0592,0.0592,0.0592
John Hayden,0.0092,2020-10-09,26.0,0,0,1,1,0,3.0,3.0,4.0,1.0,2.0,9.0,0.35,0.43,0.42,0.38,0.47,0.45,0.0769,0.0769,0.0769
John Hayden,0.01,2018-06-15,23.0,0,0,1,1,0,4.0,1.0,0.0,9.0,3.0,0.0,0.42,0.59,0.0,0.45,0.53,0.0,0.0714,0.0714,0.0714
John Klingberg,0.0616,2015-04-17,22.0,0,1,0,0,1,11.0,0.0,0.0,29.0,0.0,0.0,0.58,0.0,0.0,0.58,0.0,0.0,0.1122,0.1122,0.1122
John Marino,0.054000000000000006,2021-01-03,24.0,0,1,0,0,1,3.0,6.0,0.0,10.0,19.0,0.0,0.5,0.51,0.0,0.51,0.47,0.0,0.0536,0.0536,0.0536
John Tavares,0.1384,2018-07-01,28.0,1,1,1,0,0,37.0,28.0,33.0,47.0,38.0,37.0,0.53,0.6,0.58,0.53,0.57,0.58,0.1434,0.1434,0.1434
John Tavares,0.0855,2011-09-14,21.0,0,1,1,0,0,29.0,24.0,0.0,38.0,30.0,0.0,0.57,0.62,0.0,0.56,0.58,0.0,0.1193,0.1193,0.1193
Johnny Gaudreau,0.0925,2016-10-10,23.0,0,1,0,1,0,30.0,24.0,1.0,48.0,40.0,0.0,0.59,0.59,0.69,0.58,0.54,0.64,0.1382,0.1382,0.1382
Jon Merrill,0.011399999999999999,2020-10-09,29.0,1,1,0,0,1,2.0,3.0,1.0,5.0,12.0,2.0,0.5,0.56,0.52,0.49,0.57,0.49,0.0541,0.0541,0.0541
Jon Merrill,0.0183,2018-01-16,26.0,0,1,0,0,1,1.0,1.0,1.0,2.0,5.0,4.0,0.52,0.43,0.45,0.49,0.45,0.44,0.0333,0.0333,0.0333
Jon Merrill,0.015600000000000001,2016-07-01,25.0,0,0,0,0,1,1.0,2.0,2.0,4.0,12.0,9.0,0.45,0.46,0.52,0.44,0.44,0.54,0.0333,0.0333,0.0333
Jonas Brodin,0.0736,2020-09-15,27.0,1,1,0,0,1,2.0,4.0,6.0,26.0,14.0,15.0,0.49,0.48,0.48,0.46,0.47,0.43,0.0194,0.0194,0.0194
Jonas Brodin,0.0604,2014-10-13,21.0,0,1,0,0,1,8.0,2.0,0.0,11.0,9.0,0.0,0.45,0.51,0.0,0.45,0.49,0.0,0.1081,0.1081,0.1081
Jonas Siegenthaler,0.0098,2020-10-21,24.0,0,0,0,0,1,2.0,0.0,0.0,7.0,4.0,0.0,0.43,0.53,0.0,0.43,0.46,0.0,0.0408,0.0408,0.0408
Jonathan Huberdeau,0.0808,2016-09-06,24.0,0,1,0,1,0,20.0,15.0,9.0,39.0,39.0,19.0,0.58,0.6,0.54,0.54,0.57,0.56,0.1143,0.1143,0.1143
Jonathan Huberdeau,0.0455,2015-09-17,23.0,0,0,0,1,0,15.0,9.0,14.0,39.0,19.0,17.0,0.6,0.54,0.56,0.57,0.56,0.56,0.0882,0.0882,0.0882
Jonathan Marchessault,0.0667,2018-01-03,27.0,1,1,0,1,0,27.0,30.0,7.0,48.0,21.0,11.0,0.61,0.55,0.65,0.59,0.59,0.61,0.1007,0.1007,0.1007
Jonathan Marchessault,0.0103,2016-07-01,26.0,0,1,0,1,0,7.0,1.0,0.0,11.0,0.0,0.0,0.65,0.45,0.0,0.61,0.47,0.0,0.0864,0.0864,0.0864
Jonathan Marchessault,0.0084,2015-06-28,25.0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.66,0.47,0.0,0.42,0.3333,0.3333,0.3333
Joonas Donskoi,0.0479,2019-07-01,28.0,1,1,0,1,0,14.0,14.0,6.0,23.0,18.0,11.0,0.57,0.62,0.56,0.56,0.58,0.57,0.1217,0.1217,0.1217
Joonas Donskoi,0.026000000000000002,2017-05-12,25.0,0,1,0,1,0,6.0,11.0,0.0,11.0,25.0,0.0,0.56,0.61,0.0,0.57,0.56,0.0,0.0632,0.0632,0.0632
Jordan Eberle,0.0692,2019-06-14,29.0,1,1,0,1,0,19.0,25.0,20.0,18.0,34.0,30.0,0.57,0.59,0.6,0.56,0.57,0.58,0.1188,0.1188,0.1188
Jordan Eberle,0.1,2012-08-30,23.0,0,1,0,1,0,34.0,18.0,0.0,42.0,25.0,0.0,0.53,0.49,0.0,0.54,0.52,0.0,0.1889,0.1889,0.1889
Jordan Greenway,0.0258,2020-10-10,24.0,0,0,0,1,0,8.0,12.0,0.0,20.0,13.0,1.0,0.51,0.53,0.58,0.5,0.5,0.43,0.086,0.086,0.086
Jordan Martinook,0.0252,2019-01-29,26.0,0,1,1,1,0,15.0,6.0,11.0,10.0,9.0,14.0,0.57,0.41,0.39,0.52,0.44,0.42,0.1027,0.1027,0.1027
Jordan Martinook,0.024,2017-07-22,25.0,0,0,1,1,0,11.0,9.0,0.0,14.0,15.0,1.0,0.39,0.39,0.49,0.42,0.41,0.54,0.1028,0.1028,0.1028
Jordan Martinook,0.0084,2015-07-20,23.0,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.49,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0
Jordan Oesterle,0.0176,2019-02-20,26.0,1,1,0,0,1,6.0,5.0,0.0,13.0,10.0,0.0,0.51,0.5,0.58,0.48,0.53,0.62,0.0779,0.0779,0.0779
Jordan Oesterle,0.0087,2017-07-01,25.0,0,1,0,0,1,0.0,0.0,0.0,0.0,5.0,1.0,0.58,0.54,0.39,0.62,0.51,0.53,0.0,0.0,0.0
Jordan Oesterle,0.008199999999999999,2016-06-20,24.0,0,0,0,0,1,0.0,0.0,0.0,5.0,1.0,0.0,0.54,0.39,0.0,0.51,0.53,0.0,0.0,0.0,0.0
Jordan Staal,0.1,2012-07-01,24.0,1,1,1,1,0,25.0,11.0,21.0,25.0,19.0,28.0,0.55,0.54,0.52,0.54,0.55,0.51,0.1678,0.1678,0.1678
Jordie Benn,0.0245,2019-07-01,32.0,1,1,0,0,1,5.0,4.0,4.0,17.0,11.0,13.0,0.47,0.44,0.41,0.48,0.45,0.47,0.0538,0.0538,0.0538
Jordie Benn,0.0151,2016-06-24,29.0,1,1,0,0,1,3.0,2.0,3.0,9.0,14.0,17.0,0.45,0.51,0.47,0.45,0.51,0.48,0.0517,0.0517,0.0517
Jordie Benn,0.0109,2013-07-03,26.0,1,1,0,0,1,1.0,0.0,0.0,5.0,2.0,0.0,0.4,0.42,0.0,0.48,0.42,0.0,0.0323,0.0323,0.0323
Jordie Benn,0.0088,2012-07-31,25.0,0,1,0,0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.42,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0
Joseph Cramarossa,0.0086,2020-10-09,28.0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Cramarossa,0.0088,2019-04-25,26.0,0,1,1,0,0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.41,0.0,0.0,0.39,0.0,0.0,0.0
Joseph Cramarossa,0.008199999999999999,2019-02-21,26.0,0,0,1,0,0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.41,0.0,0.0,0.39,0.0,0.0,0.0
Joseph Cramarossa,0.0101,2016-06-15,23.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Anderson,0.0675,2020-10-08,27.0,0,1,0,1,0,1.0,27.0,19.0,3.0,20.0,11.0,0.51,0.52,0.52,0.48,0.5,0.54,0.0159,0.0159,0.0159
Josh Anderson,0.024700000000000003,2017-10-02,24.0,0,0,0,1,0,17.0,1.0,0.0,12.0,3.0,1.0,0.47,0.41,0.41,0.46,0.43,0.51,0.1429,0.1429,0.1429
Josh Archibald,0.0184,2020-03-06,27.0,1,1,0,1,0,12.0,12.0,5.0,9.0,10.0,6.0,0.39,0.45,0.42,0.37,0.4,0.44,0.1905,0.1905,0.1905
Josh Archibald,0.0123,2019-07-16,27.0,0,1,0,1,0,12.0,5.0,3.0,10.0,6.0,0.0,0.45,0.42,0.49,0.4,0.44,0.44,0.1319,0.1319,0.1319
Josh Archibald,0.009000000000000001,2017-07-12,25.0,0,0,0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.44,0.13,0.0,0.2727,0.2727,0.2727
Josh Bailey,0.0667,2018-02-23,28.0,1,1,0,1,0,18.0,13.0,12.0,53.0,43.0,20.0,0.52,0.57,0.51,0.53,0.55,0.51,0.1192,0.1192,0.1192
Josh Bailey,0.0513,2013-07-17,24.0,0,1,0,1,0,11.0,13.0,11.0,8.0,19.0,17.0,0.54,0.43,0.46,0.51,0.45,0.46,0.1447,0.1447,0.1447
Josh Bailey,0.0163,2011-09-16,22.0,0,0,0,1,0,11.0,15.0,7.0,17.0,18.0,18.0,0.46,0.53,0.57,0.46,0.52,0.53,0.1078,0.1078,0.1078
Josh Leivo,0.010700000000000001,2020-10-24,28.0,1,1,0,1,0,6.0,14.0,1.0,13.0,11.0,3.0,0.54,0.56,0.57,0.56,0.59,0.56,0.0882,0.0882,0.0882
Josh Leivo,0.0184,2019-07-05,27.0,0,1,0,1,0,14.0,1.0,2.0,11.0,3.0,8.0,0.56,0.57,0.66,0.59,0.56,0.61,0.0933,0.0933,0.0933
Josh Leivo,0.0123,2017-11-17,25.0,0,0,0,1,0,2.0,5.0,1.0,8.0,0.0,0.0,0.66,0.63,0.5,0.61,0.61,0.53,0.0741,0.0741,0.0741
Josh Leivo,0.0084,2016-07-21,24.0,0,0,0,1,0,5.0,1.0,1.0,0.0,0.0,1.0,0.63,0.5,0.45,0.61,0.53,0.43,0.25,0.25,0.25
Josh Manson,0.0547,2017-10-04,26.0,0,1,0,0,1,5.0,5.0,0.0,12.0,10.0,3.0,0.5,0.52,0.47,0.47,0.51,0.51,0.0568,0.0568,0.0568
Josh Manson,0.0113,2015-07-22,24.0,0,0,0,0,1,0.0,0.0,0.0,3.0,0.0,0.0,0.47,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0
Joshua Brown,0.0147,2020-10-05,27.0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Brown,0.009000000000000001,2018-05-31,24.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Morrissey,0.0767,2019-09-12,25.0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Morrissey,0.039599999999999996,2018-09-16,24.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juho Lammikko,0.0089,2020-11-24,25.0,0,0,1,1,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.43,0.0,0.0,0.43,0.0,0.0,0.0,0.0
Jujhar Khaira,0.0147,2019-07-01,25.0,0,0,1,1,0,3.0,11.0,1.0,15.0,10.0,0.0,0.43,0.44,0.61,0.44,0.46,0.51,0.0469,0.0469,0.0469
Jujhar Khaira,0.0092,2017-06-16,23.0,0,0,1,1,0,1.0,0.0,0.0,0.0,2.0,0.0,0.61,0.52,0.0,0.51,0.47,0.0,0.1,0.1,0.1
Justin Braun,0.022099999999999998,2020-10-05,34.0,1,1,0,0,1,3.0,2.0,5.0,16.0,14.0,28.0,0.46,0.43,0.43,0.47,0.45,0.41,0.0429,0.0429,0.0429
Justin Braun,0.055099999999999996,2014-09-20,28.0,1,1,0,0,1,4.0,0.0,2.0,13.0,7.0,9.0,0.54,0.46,0.57,0.51,0.5,0.54,0.0331,0.0331,0.0331
Justin Dowling,0.009399999999999999,2019-03-09,28.0,1,1,1,0,0,0.0,0.0,0.0,1.0,0.0,2.0,0.69,0.0,0.51,0.54,0.0,0.55,0.0,0.0,0.0
Justin Dowling,0.0089,2017-05-08,26.0,0,1,1,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.51,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0
Justin Dowling,0.0088,2016-05-31,25.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
