name,cap_hit_percentage_at_signing,signing_date,age_at_signing,is_ufa,expires_as_ufa,is_center,is_winger,is_defenseman,prev_1_goals,prev_2_goals,prev_3_goals,prev_1_assists,prev_2_assists,prev_3_assists,prev_1_xgf,prev_2_xgf,prev_3_xgf,prev_1_corsi,prev_2_corsi,prev_3_corsi,prev_1_sh,prev_2_sh,prev_3_sh
Cédric Paquette,0.0111,2016-06-24,23.0,0,0,1,1,0,6.0,12.0,0.0,5.0,7.0,1.0,0.44,0.43,0.26,0.45,0.43,0.29,0.12,0.12,0.12
Dakota Mermis,0.0086,2020-10-09,27.0,0,1,0,0,1,1.0,0.0,0.0,3.0,0.0,0.0,0.47,0.6,0.43,0.44,0.54,0.49,0.0588,0.0588,0.0588
Dakota Mermis,0.0086,2019-07-01,26.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.43,0.0,0.54,0.49,0.0,0.0,0.0,0.0
Dakota Mermis,0.0088,2018-07-03,25.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0
Damon Severson,0.0556,2017-09-11,23.0,0,1,0,0,1,3.0,1.0,5.0,28.0,20.0,12.0,0.52,0.49,0.49,0.54,0.51,0.52,0.024,0.024,0.024
Daniel Renouf,0.0086,2019-07-01,26.0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Renouf,0.008199999999999999,2018-07-02,25.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Sprong,0.0089,2020-09-18,24.0,0,0,0,1,0,1.0,14.0,2.0,1.0,9.0,1.0,0.62,0.51,0.72,0.59,0.51,0.64,0.0588,0.0588,0.0588
Daniel Sprong,0.009399999999999999,2018-06-25,22.0,0,0,0,1,0,2.0,0.0,2.0,1.0,0.0,0.0,0.72,0.0,0.39,0.64,0.0,0.47,0.0909,0.0909,0.0909
Daniel Walcott,0.0092,2021-03-10,27.0,1,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0
Daniel Walcott,0.0086,2020-04-17,26.0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Walcott,0.0088,2019-06-19,26.0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Walcott,0.0087,2018-06-07,24.0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danton Heinen,0.0344,2019-07-09,24.0,0,0,0,1,0,11.0,16.0,0.0,23.0,31.0,0.0,0.58,0.6,0.48,0.56,0.58,0.56,0.0965,0.0965,0.0965
Darnell Nurse,0.0687,2020-02-10,25.0,0,1,0,0,1,5.0,10.0,6.0,28.0,31.0,20.0,0.49,0.48,0.47,0.46,0.47,0.48,0.0296,0.0296,0.0296
